"value","count","source"
"Indian boutique",2,"freetext"
"Hue pret",2,"freetext"
"House of Surya - Delhi",2,"freetext"
"House of Joy",2,"freetext"
"Hosna Kohestani",2,"freetext"
"Haseen’s",2,"freetext"
"Haris Shakeel",2,"freetext"
"Gulahmed",2,"freetext"
"Gulab Rang Suit",2,"freetext"
"Gown",2,"freetext"
"Got it made",2,"freetext"
"Gopi Skirts by Radhika",2,"freetext"
"Golden Loom",2,"freetext"
"GnA ethnic wears",2,"freetext"
"From Kerala",2,"freetext"
"Frasha",2,"freetext"
"Exclusive",2,"freetext"
"Ethnic.pk",2,"freetext"
"ethnc",2,"freetext"
"ejaaz couture",2,"freetext"
"dulhan",2,"freetext"
"Dubai",2,"freetext"
"dont know",2,"freetext"
"Do not know",2,"freetext"
"DIYA",2,"freetext"
"dikhawa",2,"freetext"
"delhi",2,"freetext"
"customize",2,"freetext"
"Custom-made",2,"freetext"
"Custom made From India",2,"freetext"
"Chhabra",2,"freetext"
"Buraaq Bridal",2,"freetext"
"Boutique style",2,"freetext"
"Boutique piece",2,"freetext"
"Bora Honeys",2,"freetext"
"Beechtree",2,"freetext"
"Batik",2,"freetext"
"Bairaas",2,"freetext"
"Bacha party",2,"freetext"
"Aza",2,"freetext"
"Asiana Couture",2,"freetext"
"Aryavir Malhotra",2,"freetext"
"Anushree Reddy",2,"freetext"
"Anisha Shetty",2,"freetext"
"Amit Aggarwal",2,"freetext"
"Amaara",2,"freetext"
"Akbar Aslam",2,"freetext"
"Aisha And Usman",2,"freetext"
"Abhishek",2,"freetext"
"Aanchal exclusive fashion gallery",2,"freetext"
"Aacho",2,"freetext"
"7aatrang Birmingham",2,"freetext"
"3 pieces suit",2,"freetext"
"3 pcs",2,"freetext"
"150",2,"freetext"
"100",2,"freetext"
"…",1,"freetext"
"Zylish designs- Kerala",1,"freetext"
"zudio",1,"freetext"
"ZIRR by GAJIWALA",1,"freetext"
"Zeeshan Danish",1,"freetext"
"Zeen, Beejays, Libaas, Panache Apparel",1,"freetext"
"Zeel Clothing",1,"freetext"
"Zebaye",1,"freetext"
"Zeal apparel",1,"freetext"
"zaveri",1,"freetext"
"Zarri palace Pakistan",1,"freetext"
"ZARI BY RAM KISHAAN SAREES",1,"freetext"
"Zardozi",1,"freetext"
"ZaraShah Jahan",1,"freetext"
"Zara Shajhan",1,"freetext"
"Zara Shahjhan",1,"freetext"
"Zara Shahahan",1,"freetext"
"ZARA",1,"freetext"
"Zanes",1,"freetext"
"Zains",1,"freetext"
"Zahra Ahmad",1,"freetext"
"Zahan designer outfits,Khaadi,Zainab chotani,",1,"freetext"
"Yes.",1,"freetext"
"Yes they all are boutique style",1,"freetext"
"Yes stitched",1,"freetext"
"Yes customised",1,"freetext"
"Xenia Formal",1,"freetext"
"Worn once for my wedding day.",1,"freetext"
"Windsor and Lux",1,"freetext"
"Whole piece is hand worked",1,"freetext"
