"value","count","source"
"bought it from local designer in ncr delhi",1,"freetext"
"Bought in Mongas.",1,"freetext"
"Bought from Vinnis Boutique",1,"freetext"
"Bought from Southall",1,"freetext"
"Bought from shop name new seasons in coburg vic",1,"freetext"
"Bought from shop in perth WA",1,"freetext"
"Bought from shop in Australia",1,"freetext"
"Bought from Nepal. Only wore twice.",1,"freetext"
"Bought from local shop",1,"freetext"
"Bought from Liverpool store.",1,"freetext"
"Bought from Kumar’s Liverpool sydney",1,"freetext"
"Bought from India , from a clothing store.",1,"freetext"
"bought from House of Kalra
Bridal shop in AJAX, ONTARIO",1,"freetext"
"Bought from Green Street",1,"freetext"
"Bought from Green Steet London",1,"freetext"
"Bought from Dee and Ash boutique",1,"freetext"
"Bought from Anikha Gravsand",1,"freetext"
"bought from a shop in jalandhar",1,"freetext"
"Bought from a rose boutique in Sydney",1,"freetext"
"Bought from a manufacturer directly in India.",1,"freetext"
"Bought from a Local boutique in Melbourne VIC.",1,"freetext"
"Bought from a bridal shop in perth WA",1,"freetext"
"Bought from a boutique store",1,"freetext"
"Botique Piece",1,"freetext"
"botique from india",1,"freetext"
"Botique designer",1,"freetext"
"Botique",1,"freetext"
"Bombay selections",1,"freetext"
"Bombay Selection (India)",1,"freetext"
"Bombay selection",1,"freetext"
"Bombay Looks",1,"freetext"
"Bombay fashion green street london",1,"freetext"
"Bombay fashion",1,"freetext"
"Bombay Edition",1,"freetext"
"Bombay Designer",1,"freetext"
"Bombay collection",1,"freetext"
"Bombay",1,"freetext"
"Bombai Fashion",1,"freetext"
"Bollywood style",1,"freetext"
"Bollywood replica design",1,"freetext"
"Blue Sky",1,"freetext"
"Blue netted Anajali",1,"freetext"
"bj",1,"freetext"
"BisouNYC",1,"freetext"
"Bin Sayed",1,"freetext"
"Bin Saed",1,"freetext"
"Bin ilyas",1,"freetext"
"Billa silk and sarees",1,"freetext"
"Big brands, Farrah talib, Iqbal hussain, elan and more",1,"freetext"
"Bidaai London",1,"freetext"
"Biba store",1,"freetext"
"Biba by Rohit Bal",1,"freetext"
"Bespoke Boutique",1,"freetext"
"BeeHon",1,"freetext"
"Beautiful velvet gown with mirror work, can wear it with or without duppata.",1,"freetext"
"Beautiful sarees",1,"freetext"
"Beautiful piece of jewellery with amazing details and design",1,"freetext"
"Beautiful Pearl Choker with earrings",1,"freetext"
"Beautiful Mirtor work embroidered",1,"freetext"
"Beautiful hand embroidery",1,"freetext"
"Beautiful green Lehenga for Sale!

For sale is a stunning [green ] lehenga, perfect for weddings, parties, or special occasions. This gorgeous outfit features:

-net , embroidered 
- sequins, mirror work
-  floor-length full sleeves
- comes with matching dupatta 
Wore only once mint condition",1,"freetext"
"Beautiful designer chiffon lehriya saree",1,"freetext"
"Beautiful blue outfit for evening wear.",1,"freetext"
"beads work with Gita Patti work",1,"freetext"
"Bazzazz",1,"freetext"
"Bawree store - Santa Cruz West Mumbai",1,"freetext"
"bavleens",1,"freetext"
"batson",1,"freetext"
"Batra wholesale",1,"freetext"
"Batra Boutique",1,"freetext"
"Batik Pakistan",1,"freetext"
"Based in Victoria, can ship to anywhere with postage fee",1,"freetext"
"Basanti, coffee or kapde",1,"freetext"
"Basanti Ke Kapde aur Coffee",1,"freetext"
"Basanti Kapde or Coffee",1,"freetext"
"Basanti kapde aur koffee",1,"freetext"
"Basanti kapde and koffee",1,"freetext"
"Basanti - Kapde Aur Koffee",1,"freetext"
"Basanti",1,"freetext"
"Barouqe",1,"freetext"
"barouq",1,"freetext"
"Baroque,  maria b, khuda baksh",1,"freetext"
"Baroque Pakistan",1,"freetext"
"Barooque",1,"freetext"
"Bariano",1,"freetext"
"Bargello",1,"freetext"
"bank",1,"freetext"
"Bani Collection",1,"freetext"
"Bangladeshi",1,"freetext"
"Bangali",1,"freetext"
"bahjat",1,"freetext"
"Badgley Mishka",1,"freetext"
"Backs party",1,"freetext"
"Baabuls",1,"freetext"
"baabul",1,"freetext"
"B Anu Designs",1,"freetext"
"AZA FASHIONS",1,"freetext"
"aynaa world",1,"freetext"
"Ayeshas Closet",1,"freetext"
"Ayesha Usman",1,"freetext"
"Ayesha & Usman",1,"freetext"
"Aveera collection",1,"freetext"
"Aura couture",1,"freetext"
"AU size 8-10.",1,"freetext"
"AU size 8-10",1,"freetext"
"Astha Narang www.asthanarang.com",1,"freetext"
"Astha Narang",1,"freetext"
"astha naraang",1,"freetext"
"Asos",1,"freetext"
"Asopalv",1,"freetext"
"asopalav dresses",1,"freetext"
"Asopalav Ahmedabad",1,"freetext"
"Aso palov",1,"freetext"
"Asma Afzal",1,"freetext"
"Asim Jofa ; Hussain Rehar, Maria B",1,"freetext"
"Asif Mehdi Bridal",1,"freetext"
"as per pictures",1,"freetext"
"Arzooofficial",1,"freetext"
"arya studio",1,"freetext"
"Artisan, Handmade from India.",1,"freetext"
"Arshi Zari Art",1,"freetext"
"around the world",1,"freetext"
"Armaan’s Couture",1,"freetext"
"Arif ashraf",1,"freetext"
"AR by Rhea Kapoor",1,"freetext"
"Apple",1,"freetext"
"Anum Jung",1,"freetext"
"Anu",1,"freetext"
"Ansab Jahangir",1,"freetext"
"Anouk",1,"freetext"
"Annus creation",1,"freetext"
"Annus Abrar",1,"freetext"
"annu Creation",1,"freetext"
"Anjali",1,"freetext"
"Anis Collections",1,"freetext"
"Anil Store Amritsar",1,"freetext"
"Anewsta",1,"freetext"
"Andaaz Boutique",1,"freetext"
"Andaaz",1,"freetext"
"Anayat designs",1,"freetext"
"Anaya",1,"freetext"
"Anarkali",1,"freetext"
"Anadaaz",1,"freetext"
"Amritsar",1,"freetext"
"Amna Ismail",1,"freetext"
"Ammra Boutique Coimbatore",1,"freetext"
"Amitabh Malhotra",1,"freetext"
"amir adnan",1,"freetext"
"Amazing material, linen and about 1 inch loose cloth for alter.",1,"freetext"
"Amar coloney Delhi purchased",1,"freetext"
"Amaara Australia",1,"freetext"
"Amaara AU",1,"freetext"
"Amaaneh",1,"freetext"
"AM:PM",1,"freetext"
"Altaf Tailors from Liverpool",1,"freetext"
"Altaf Tailor",1,"freetext"
"Almirah",1,"freetext"
"Ally’s & Malahaar",1,"freetext"
"Allen Solly",1,"freetext"
"All ready made",1,"freetext"
"All designs",1,"freetext"
"all branded",1,"freetext"
"All blouses $50 each, pick up options only",1,"freetext"
"All",1,"freetext"
"alkaram studio",1,"freetext"
"Alkaram pakistan",1,"freetext"
"alkaram",1,"freetext"
"Alizeh",1,"freetext"
"Alisha's Offical",1,"freetext"
"Aline sage green",1,"freetext"
"Alan Pinkus",1,"freetext"
"Al.umar garments",1,"freetext"
"Al karam",1,"freetext"
"Akba Aslam",1,"freetext"
"ajay",1,"freetext"
"Aishwarya sarees - Ahemdabad",1,"freetext"
"Aisha Rao",1,"freetext"
"Aisha",1,"freetext"
"Aiman Malik",1,"freetext"
"Aik Global (Pakistani)",1,"freetext"
"aik atlier",1,"freetext"
"aik altier",1,"freetext"
"Aik",1,"freetext"
"Ahmed sultan",1,"freetext"
"Ahi clothing",1,"freetext"
"Agunj",1,"freetext"
"Agha noor original",1,"freetext"
"Agha Noor cotton net 3 piece suit. New with tags.",1,"freetext"
"Agha jaan",1,"freetext"
"Adnan pardesi",1,"freetext"
"Adidas",1,"freetext"
"Adhya",1,"freetext"
"Adaa Trendz",1,"freetext"
"Ada(style)beauty
Hand made",1,"freetext"
"ADA By Mehar",1,"freetext"
"Achcho",1,"freetext"
"abru",1,"freetext"
"ABOF",1,"freetext"
"Abishekh Radhika",1,"freetext"
"Abhishekh fashions",1,"freetext"
"Abhishek and Anaya",1,"freetext"
"Aari designer boutique in Mumbai",1,"freetext"
"aamra",1,"freetext"
"Aakriti",1,"freetext"
"A long gown simply means a full‑length dress — one that usually reaches the ankles or even the floor. With your measurements: Pink in color with embroidery 

Bust: 38 inches (after doubling)

Length: 57 inches",1,"freetext"
"a",1,"freetext"
"90 aud",1,"freetext"
"7raang",1,"freetext"
"7aatrang",1,"freetext"
"7AAT RANG",1,"freetext"
"44/46 in chest size.used once for few hours.good condition.no stain no issues",1,"freetext"
"3D floral motifs, matching sheer dupatta and the dramatic stone fringes hanging from the sleeves and the hem of the top.  Stylish and heavily embellished tomato red lehenga crafted in beads, petals, 3D floral motifs, sequins, zardozi and multiple fringes in between the embroidery.",1,"freetext"
"3 pieces",1,"freetext"
"3 pc organza teal frock with lining under frock and quarter lining under sleeves. Size large",1,"freetext"
"231",1,"freetext"
"20",1,"freetext"
"2",1,"freetext"
"130",1,"freetext"
"..",1,"freetext"
".",1,"freetext"
"- Manish Malhotra designed copy-",1,"freetext"
